01-01 18:03:57: Training starting...
01-01 18:04:00: New best reward 29.0 (-100.0%) at episode 0, saving model...
01-01 18:04:00: New best reward 37.0 (+27.6%) at episode 3, saving model...
01-01 18:04:00: New best reward 41.0 (+10.8%) at episode 6, saving model...
01-01 18:04:00: New best reward 47.0 (+14.6%) at episode 9, saving model...
01-01 18:04:00: New best reward 60.0 (+27.7%) at episode 28, saving model...
01-01 18:04:01: New best reward 84.0 (+40.0%) at episode 111, saving model...
01-01 18:04:03: New best reward 89.0 (+6.0%) at episode 249, saving model...
01-01 18:04:05: New best reward 93.0 (+4.5%) at episode 446, saving model...
01-01 18:04:05: New best reward 95.0 (+2.2%) at episode 473, saving model...
01-01 18:04:05: New best reward 127.0 (+33.7%) at episode 481, saving model...
01-01 18:04:06: New best reward 145.0 (+14.2%) at episode 518, saving model...
01-01 18:04:07: New best reward 253.0 (+74.5%) at episode 622, saving model...
01-01 18:04:16: New best reward 265.0 (+4.7%) at episode 1058, saving model...
01-01 18:04:20: New best reward 385.0 (+45.3%) at episode 1177, saving model...
01-01 18:04:30: New best reward 404.0 (+4.9%) at episode 1420, saving model...
01-01 18:04:36: New best reward 407.0 (+0.7%) at episode 1524, saving model...
01-01 18:04:36: New best reward 490.0 (+20.4%) at episode 1540, saving model...
01-01 18:06:47: New best reward 496.0 (+1.2%) at episode 3198, saving model...
01-01 18:06:50: New best reward 502.0 (+1.2%) at episode 3220, saving model...
01-01 18:11:02: New best reward 518.0 (+3.2%) at episode 5501, saving model...
01-01 18:11:09: New best reward 592.0 (+14.3%) at episode 5556, saving model...
01-01 18:11:10: New best reward 609.0 (+2.9%) at episode 5562, saving model...
01-01 18:11:13: New best reward 623.0 (+2.3%) at episode 5587, saving model...
01-01 18:11:15: New best reward 724.0 (+16.2%) at episode 5600, saving model...
01-01 18:11:20: New best reward 763.0 (+5.4%) at episode 5638, saving model...
01-01 18:11:22: New best reward 827.0 (+8.4%) at episode 5646, saving model...
01-01 18:11:33: New best reward 2676.0 (+223.6%) at episode 5734, saving model...
01-01 18:12:29: New best reward 100000.0 (+3636.9%) at episode 5841, saving model...
