01-01 19:02:03: Training starting...
01-01 19:02:06: New best reward -7.5 (-100.0%) at episode 0, saving model...
01-01 19:02:06: New best reward -6.9 (-8.0%) at episode 1, saving model...
01-01 19:02:06: New best reward -6.3 (-8.7%) at episode 6, saving model...
01-01 19:02:06: New best reward -5.7 (-9.5%) at episode 15, saving model...
01-01 19:02:06: New best reward -4.5 (-21.1%) at episode 20, saving model...
01-01 19:02:06: New best reward -3.9 (-13.3%) at episode 25, saving model...
01-01 19:02:11: New best reward -1.5 (-61.5%) at episode 672, saving model...
01-01 19:02:13: New best reward -0.9 (-40.0%) at episode 922, saving model...
01-01 19:02:15: New best reward 0.9 (-200.0%) at episode 1086, saving model...
01-01 19:02:24: New best reward 3.9 (+333.3%) at episode 2127, saving model...
01-01 19:03:49: New best reward 4.0 (+2.6%) at episode 11023, saving model...
01-01 19:03:57: New best reward 4.3 (+7.5%) at episode 11821, saving model...
01-01 19:04:07: New best reward 6.2 (+44.2%) at episode 12714, saving model...
01-01 19:04:28: New best reward 6.5 (+4.8%) at episode 14380, saving model...
01-01 19:04:41: New best reward 8.4 (+29.2%) at episode 15585, saving model...
01-01 19:06:27: New best reward 8.5 (+1.2%) at episode 25121, saving model...
01-01 19:06:30: New best reward 8.8 (+3.5%) at episode 25470, saving model...
01-01 19:06:57: New best reward 9.0 (+2.3%) at episode 27785, saving model...
01-01 19:33:18: New best reward 12.9 (+43.3%) at episode 139532, saving model...
01-01 19:37:25: New best reward 15.8 (+22.5%) at episode 148096, saving model...
01-01 19:37:43: New best reward 23.5 (+48.7%) at episode 149125, saving model...
01-01 19:40:00: New best reward 36.4 (+54.9%) at episode 156626, saving model...
01-01 19:45:40: New best reward 37.0 (+1.6%) at episode 173882, saving model...
01-01 19:49:44: New best reward 40.9 (+10.5%) at episode 185339, saving model...
01-01 19:54:48: New best reward 46.9 (+14.7%) at episode 199385, saving model...
01-01 20:06:47: New best reward 47.1 (+0.4%) at episode 227255, saving model...
01-01 20:07:31: New best reward 50.9 (+8.1%) at episode 228938, saving model...
01-01 20:18:22: New best reward 73.9 (+45.2%) at episode 250216, saving model...
01-01 20:38:32: New best reward 74.2 (+0.4%) at episode 288104, saving model...
01-02 10:43:17: New best reward 87.9 (+18.5%) at episode 446314, saving model...
